                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9475,                 2.8334,                 1.4957,                0.65489,                0.29072,                0.30332,                0.11725,                 1.9733,                 2.4009,                 1.5451,             0.00041518,             0.00041518,             0.00041518
                      2,                 1.8356,                 1.9512,                 1.4924,                0.58425,                0.32809,                0.31179,                0.12007,                 1.8569,                 1.9517,                 1.5337,             0.00081537,             0.00081537,             0.00081537
                      3,                 1.8424,                 1.7103,                 1.5122,                0.58677,                0.30893,                 0.3209,                0.13716,                 1.8661,                 1.7337,                 1.5618,              0.0011991,              0.0011991,              0.0011991
                      4,                 1.8064,                 1.5595,                 1.4955,                0.69834,                0.42918,                0.42124,                0.18992,                 1.8265,                 1.4378,                 1.5466,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.7447,                 1.4466,                 1.4516,                0.72575,                0.41428,                0.43737,                0.19507,                 1.7116,                 1.3909,                 1.4487,               0.001151,               0.001151,               0.001151
                      6,                 1.7078,                 1.3634,                 1.4162,                0.50371,                0.46752,                0.48598,                0.23014,                 1.6695,                 1.2695,                 1.4379,              0.0011263,              0.0011263,              0.0011263
                      7,                 1.6703,                 1.3113,                 1.4094,                0.76706,                0.46481,                0.49784,                0.24283,                 1.6561,                  1.188,                 1.4154,              0.0011015,              0.0011015,              0.0011015
                      8,                  1.651,                 1.2597,                 1.3949,                0.82229,                 0.4851,                0.55568,                0.26883,                 1.6124,                 1.1461,                 1.3788,              0.0010768,              0.0010768,              0.0010768
                      9,                 1.6275,                 1.2254,                 1.3794,                0.72592,                0.52422,                0.54019,                0.26991,                 1.5968,                 1.0843,                 1.3904,               0.001052,               0.001052,               0.001052
                     10,                 1.6025,                 1.1759,                 1.3655,                 0.7866,                0.48486,                0.55526,                0.24693,                 1.6155,                 1.0702,                 1.3914,              0.0010273,              0.0010273,              0.0010273
                     11,                 1.5946,                 1.1667,                 1.3631,                0.64761,                 0.5488,                0.59057,                0.28134,                 1.5836,                 1.0345,                 1.3805,              0.0010025,              0.0010025,              0.0010025
                     12,                  1.557,                 1.1326,                 1.3437,                0.82413,                0.48599,                0.58552,                0.29139,                 1.5243,                 1.0408,                 1.3258,             0.00097775,             0.00097775,             0.00097775
                     13,                 1.5523,                 1.1141,                 1.3402,                 0.5762,                0.58351,                0.59343,                0.29995,                   1.53,                 1.0071,                 1.3437,               0.000953,               0.000953,               0.000953
                     14,                 1.5251,                 1.0717,                 1.3193,                0.67195,                0.58044,                0.60723,                0.29662,                 1.5248,                0.99915,                   1.34,             0.00092825,             0.00092825,             0.00092825
                     15,                 1.5067,                 1.0493,                 1.3092,                  0.558,                 0.5923,                0.57475,                0.29579,                 1.5277,                0.95706,                  1.326,              0.0009035,              0.0009035,              0.0009035
                     16,                 1.4873,                 1.0243,                 1.2967,                 0.6994,                0.60002,                0.63652,                0.32646,                 1.4808,                0.95597,                 1.2966,             0.00087875,             0.00087875,             0.00087875
                     17,                 1.4847,                  1.008,                 1.2931,                0.68689,                0.59872,                0.62829,                0.32016,                 1.5112,                0.90176,                 1.3094,               0.000854,               0.000854,               0.000854
                     18,                 1.4697,                0.99265,                 1.2798,                0.63964,                0.57603,                0.60422,                0.31171,                 1.4685,                0.91254,                 1.2928,             0.00082925,             0.00082925,             0.00082925
                     19,                 1.4401,                0.98478,                 1.2767,                0.63208,                0.68224,                0.65008,                 0.3427,                 1.4739,                0.86482,                  1.299,              0.0008045,              0.0008045,              0.0008045
                     20,                 1.4313,                0.95514,                 1.2621,                0.63245,                0.64937,                 0.6432,                0.34031,                 1.4712,                0.88317,                 1.2917,             0.00077975,             0.00077975,             0.00077975
                     21,                 1.4108,                0.94397,                 1.2523,                0.69599,                0.63912,                0.68105,                0.35262,                 1.4324,                0.86611,                 1.2738,               0.000755,               0.000755,               0.000755
                     22,                 1.4076,                0.92638,                 1.2438,                0.65054,                0.60985,                0.64097,                0.34284,                 1.4325,                0.84339,                 1.2616,             0.00073025,             0.00073025,             0.00073025
                     23,                 1.3993,                0.90829,                 1.2326,                0.72554,                0.63499,                0.68336,                0.36349,                 1.4144,                0.84986,                 1.2671,              0.0007055,              0.0007055,              0.0007055
                     24,                  1.391,                0.89816,                  1.237,                0.71502,                0.64289,                0.68492,                 0.3618,                 1.4335,                 0.8422,                 1.2589,             0.00068075,             0.00068075,             0.00068075
                     25,                 1.3765,                0.88366,                 1.2223,                0.71674,                0.62266,                0.67422,                0.37263,                 1.4096,                0.81443,                 1.2499,               0.000656,               0.000656,               0.000656
                     26,                 1.3651,                0.88401,                 1.2231,                0.70845,                0.63664,                 0.6766,                 0.3711,                 1.4081,                0.81427,                 1.2499,             0.00063125,             0.00063125,             0.00063125
                     27,                 1.3579,                 0.8569,                  1.224,                0.68311,                0.70308,                0.70704,                0.38269,                 1.3561,                0.78216,                  1.217,              0.0006065,              0.0006065,              0.0006065
                     28,                 1.3324,                0.84166,                 1.1981,                0.69501,                0.68262,                 0.7058,                0.40232,                 1.3945,                0.78537,                 1.2359,             0.00058175,             0.00058175,             0.00058175
                     29,                  1.337,                0.85192,                 1.2036,                0.70492,                0.73031,                0.72619,                0.39953,                 1.3594,                0.76821,                 1.2218,               0.000557,               0.000557,               0.000557
                     30,                 1.3183,                0.83965,                 1.1867,                0.70698,                0.68959,                0.72086,                0.40407,                 1.3616,                0.74556,                  1.222,             0.00053225,             0.00053225,             0.00053225
                     31,                  1.308,                0.83328,                 1.1922,                 0.7259,                0.71121,                0.74289,                0.41451,                 1.3495,                0.74208,                  1.217,              0.0005075,              0.0005075,              0.0005075
                     32,                 1.2808,                0.80457,                 1.1782,                 0.7131,                0.69169,                 0.7207,                0.41568,                 1.3404,                0.74025,                 1.2131,             0.00048275,             0.00048275,             0.00048275
                     33,                 1.2755,                0.78873,                 1.1747,                 0.7407,                0.69817,                0.72861,                0.41139,                 1.3318,                 0.7365,                 1.2046,               0.000458,               0.000458,               0.000458
                     34,                 1.2842,                0.78759,                 1.1791,                0.71582,                0.69953,                0.73936,                0.43229,                 1.3156,                0.72332,                 1.1921,             0.00043325,             0.00043325,             0.00043325
                     35,                 1.2558,                0.78276,                 1.1628,                0.72511,                0.75692,                0.75447,                 0.4406,                 1.3045,                0.71099,                 1.1865,              0.0004085,              0.0004085,              0.0004085
                     36,                  1.255,                0.77011,                   1.17,                 0.7318,                0.73664,                 0.7462,                0.42489,                 1.3206,                0.70859,                 1.2002,             0.00038375,             0.00038375,             0.00038375
                     37,                 1.2398,                 0.7559,                 1.1572,                0.77448,                 0.7085,                0.75973,                0.44559,                 1.2926,                0.69274,                 1.1808,               0.000359,               0.000359,               0.000359
                     38,                  1.217,                0.74414,                 1.1419,                 0.7185,                 0.7572,                0.75109,                0.44371,                 1.2908,                0.69792,                 1.1736,             0.00033425,             0.00033425,             0.00033425
                     39,                 1.2251,                0.74671,                 1.1503,                0.74396,                0.72283,                0.75072,                 0.4389,                 1.2827,                0.68832,                 1.1764,              0.0003095,              0.0003095,              0.0003095
                     40,                 1.2213,                0.73968,                 1.1435,                0.75448,                0.71446,                0.75371,                0.45269,                 1.2719,                0.67804,                 1.1681,             0.00028475,             0.00028475,             0.00028475
                     41,                 1.1625,                0.65132,                 1.1246,                0.74983,                0.71786,                0.76827,                0.45622,                  1.267,                 0.6865,                 1.1712,                0.00026,                0.00026,                0.00026
                     42,                 1.1479,                0.64144,                 1.1105,                0.70217,                0.74454,                0.75489,                0.45119,                 1.2662,                0.68644,                 1.1611,             0.00023525,             0.00023525,             0.00023525
                     43,                 1.1326,                0.63109,                 1.1012,                0.78007,                0.74791,                 0.7794,                0.47015,                 1.2401,                0.67009,                 1.1579,              0.0002105,              0.0002105,              0.0002105
                     44,                 1.1163,                0.61938,                 1.1023,                0.78523,                0.77548,                0.79045,                0.47809,                 1.2304,                0.66348,                 1.1515,             0.00018575,             0.00018575,             0.00018575
                     45,                 1.1023,                0.61703,                 1.0931,                0.77864,                0.77503,                0.80148,                0.48763,                 1.2178,                0.65661,                 1.1445,               0.000161,               0.000161,               0.000161
                     46,                 1.0838,                0.60157,                 1.0804,                 0.7634,                0.76576,                0.79774,                0.49402,                 1.2189,                 0.6395,                 1.1493,             0.00013625,             0.00013625,             0.00013625
                     47,                 1.0855,                0.59804,                 1.0825,                 0.7703,                0.78643,                0.79958,                0.49483,                 1.2093,                 0.6425,                 1.1406,              0.0001115,              0.0001115,              0.0001115
                     48,                 1.0761,                 0.5927,                 1.0756,                0.77252,                0.77802,                0.80161,                0.49756,                 1.2082,                0.63778,                 1.1371,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                  1.064,                0.57748,                 1.0732,                0.76643,                0.80601,                0.80744,                0.49698,                 1.2052,                0.63141,                 1.1365,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                  1.057,                0.57361,                 1.0666,                 0.7778,                0.79757,                0.80919,                0.50591,                 1.1961,                 0.6273,                 1.1319,              3.725e-05,              3.725e-05,              3.725e-05
